国家,国家简码,DAU,注册数
菲律宾,PH,908243,8764
印度,IN,286242,6528
尼泊尔,NP,237591,3631
巴基斯坦,PK,182917,7259
埃塞俄比亚,ET,117786,5047
孟加拉国,BD,111867,3623
印尼,ID,108154,7201
尼日利亚,NG,99309,4799
沙特,SA,42263,1554
南非,ZA,40436,2974
埃及,EG,31469,1518
肯尼亚,KE,29174,1367
巴西,BR,28157,655
越南,VI,27801,676
不丹,BT,26718,733
香港,HK,19364,159
乌干达,UG,15857,440
美国,US,15732,741
阿联酋X,AC,15483,0
沙特X,AA,13496,0
卢旺达,RW,13381,452
老挝,LA,13259,209
阿联酋,AE,13069,762
哥伦比亚,CO,12248,228
缅甸,MM,9498,409
马来西亚,MY,9156,220
黎巴嫩,LB,8973,190
日本,JP,8932,218
贝宁,BJ,8655,256
俄罗斯,RU,8496,445
加纳,GH,8393,174
科威特X,AB,8345,0
多哥,TG,8323,249
吉尔吉斯斯坦,KG,7927,277
加拿大,CA,7734,216
法国,FR,7663,303
阿尔及利亚,DZ,6763,404
摩洛哥,MA,6167,171
海地,HT,5745,209
泰国,TH,5506,149
台湾,TW,5304,32
英国,GB,5218,334
德国,DE,4731,194
马达加斯加,MG,4643,161
突尼斯,TN,4423,77
多米尼加共和国,DO,4332,155
卡塔尔X,AJ,4274,0
科威特,KW,4222,179
乌克兰,UA,4051,93
意大利,IT,3735,73
韩国,KR,3694,46
津巴布韦,ZW,3632,279
土耳其,TR,3623,137
哈萨克斯坦,KZ,3537,145
马拉维,MW,3508,105
乌兹别克斯坦,UZ,3298,237
卡塔尔,QA,2729,143
阿曼X,AV,2623,0
布隆迪,BI,2547,67
新加坡,SG,2367,93
荷兰,NL,2262,153
科特迪瓦,CI,2259,117
约旦,JO,2135,125
巴林X,BU,2031,0
澳大利亚,AU,2025,125
西班牙,ES,1707,39
伊拉克,IQ,1629,397
巴林,BH,1555,52
阿曼,OM,1436,102
澳门,MO,1426,8
博茨瓦纳,BW,1397,80
葡萄牙,PT,1279,26
斯威士兰,SZ,1246,369
喀麦隆,CM,1243,38
也门,YE,1242,121
墨西哥,MX,1125,94
赞比亚,ZM,1093,34
利比亚,LY,1041,105
白俄罗斯,BY,1034,17
厄瓜多尔,EC,1020,50
布基纳法索,BF,981,47
阿根廷,AR,962,71
秘鲁,PE,882,25
比利时,BE,849,44
以色列X,AX,838,0
莱索托,LS,815,125
新西兰,NZ,807,18
文莱,BN,750,6
黎巴嫩A,AH,739,0
土耳其M,TA,680,99
巴拉圭,PY,669,32
波兰,PL,651,32
莫桑比克,MZ,623,24
塞浦路斯,CY,622,7
智利,CL,590,23
塞内加尔,SN,574,26
牙买加,JM,563,18
加蓬,GA,561,13
古巴,CU,560,15
约旦A,BX,549,0
叙利亚,SY,549,70
安哥拉,AO,541,27
巴哈马,BS,541,19
斯里兰卡,LK,536,18
刚果布,CG,527,22
玻利维亚,BO,526,8
罗马尼亚,RO,518,23
瑞士,CH,516,9
纳米比亚,NA,471,20
希腊,GR,460,12
瑞典,SE,452,17
塞拉利昂,SL,438,10
芬兰,FI,436,14
苏里南,SR,432,12
埃及A,AP,418,0
特立尼达和多巴哥,TT,398,8
索马里,SO,382,48
利比亚A,CB,380,0
爱尔兰,IE,350,13
以色列,IL,344,20
丹麦,DK,337,15
保加利亚,BG,331,8
巴勒斯坦,BL,317,11
挪威,NO,312,5
奥地利,AT,311,35
摩尔多瓦,MD,286,12
捷克,CZ,246,11
刚果金,CD,234,22
克罗地亚,HR,213,6
伯利兹,BZ,212,4
马尔代夫,MV,204,9
坦桑尼亚,TZ,199,13
马里,ML,184,14
哥斯达黎加,CR,181,8
巴拿马,PA,173,4
萨尔瓦多,SV,171,6
柬埔寨,KH,169,10
毛里求斯,MU,166,10
冈比亚,GM,160,9
匈牙利,HU,159,7
日本L,JL,153,3
土耳其A,BC,143,0
洪都拉斯,HN,142,13
委内瑞拉,VE,141,17
格鲁吉亚,GE,140,6
冰岛,IS,132,2
马耳他,MT,130,5
几内亚,GN,127,11
阿美尼亚,AM,123,20
巴巴多斯,BB,122,8
危地马拉,GT,118,10
阿尔巴尼亚,AL,116,23
乌拉圭,UY,99,5
波多黎各,PR,98,3
开曼群岛,KY,84,1
阿富汗,AF,81,10
阿塞拜疆,AZ,79,18
突尼斯X,CP,78,0
摩洛哥A,AK,75,0
拉脱维亚,LV,74,8
尼日尔,NE,68,10
尼加拉瓜,NI,67,2
卢森堡,LU,64,2
关岛,GU,63,1
中非共和国,CF,60,0
圭亚那,GY,59,5
中国,CN,58,2
阿尔及利亚A,BA,54,1
立陶宛,LT,54,2
百慕大群岛,BM,52,2
吉布提,DJ,52,4
斯洛伐克,SK,52,3
法属圭亚那,GF,50,1
蒙古,MN,50,3
安道尔共和国,AD,45,9
斯洛文尼亚,SI,44,1
伊拉克A,BK,42,0
塞尔维亚,RS,42,2
安提瓜和巴布达,AG,40,10
苏丹X,CJ,40,0
斐济,FJ,40,2
乍得,TD,40,6
利比里亚,LR,39,5
扎伊尔,ZR,38,0
摩纳哥,MC,37,1
塔吉克斯坦,TJ,35,2
巴布亚新几内亚,PG,33,0
安圭拉岛,AI,27,9
法属玻利尼西亚,PF,23,0
直布罗陀,GI,20,0
塞舌尔,SC,19,1
库克群岛,CK,17,0
也门X,BQ,16,0
格林纳达,GD,16,0
土库曼斯坦,TM,16,6
列支敦士登,LI,15,0
圣文森特岛,VC,15,0
瑙鲁,NR,14,0
圣卢西亚,LC,13,0
圣马力诺,SM,13,0
巴勒斯坦X,BP,11,0
黑山国,HS,11,2
苏丹,SD,10,4
东帝汶,TL,10,0
圣多美和普林西比,ST,8,0
特克斯和凯科斯群岛,TC,8,1
查谟和克什米尔,IR,7,5
蒙特塞拉特岛,MS,7,0
所罗门群岛,SB,5,0
汤加,TO,5,0
奥里萨邦,DG,1,0
乌塔拉坎德邦,DS,1,0
安得拉邦,IB,1,0
叙利亚A,AY,0,0
马来西亚X,CE,0,0
马哈拉施特拉邦,DA,0,0
曼尼普尔邦,DB,0,0
米佐拉姆邦,DC,0,0
纳加兰邦,DF,0,0
旁遮普邦,DI,0,0
拉贾斯坦邦,DL,0,0
塔米尔纳德邦,DN,0,0
特伦甘纳邦,DP,0,0
达达区邦,DQ,0,0
特里普拉邦,DR,0,0
乌邦,DT,0,0
西孟加拉邦,DU,0,0
古吉拉特邦,DV,0,0
安尼群岛邦,IA,0,0
阿鲁纳恰尔邦,IC,0,0
阿萨姆邦,IF,0,0
比哈尔邦,IG,0,0
昌迪加尔邦,IH,0,0
查蒂斯加尔邦,II,0,0
贾坎德邦,IJ,0,0
德里邦,IK,0,0
喜马偕尔邦,IP,0,0
卡纳塔克邦,IU,0,0
喀拉拉邦,IV,0,0
拉达克邦,IW,0,0
梅加拉亚邦,IX,0,0
拉克沙群岛邦,IY,0,0
中央邦,IZ,0,0
