国家,国家简码,DAU
菲律宾,PH,908243
印度,IN,286242
尼泊尔,NP,237591
巴基斯坦,PK,182917
埃塞俄比亚,ET,117786
孟加拉国,BD,111867
印尼,ID,108154
尼日利亚,NG,99309
沙特,SA,42263
南非,ZA,40436
埃及,EG,31469
肯尼亚,KE,29174
巴西,BR,28157
越南,VI,27801
不丹,BT,26718
香港,HK,19364
乌干达,UG,15857
美国,US,15732
阿联酋X,AC,15483
沙特X,AA,13496
卢旺达,RW,13381
老挝,LA,13259
阿联酋,AE,13069
哥伦比亚,CO,12248
缅甸,MM,9498
马来西亚,MY,9156
黎巴嫩,LB,8973
日本,JP,8932
贝宁,BJ,8655
俄罗斯,RU,8496
加纳,GH,8393
科威特X,AB,8345
多哥,TG,8323
吉尔吉斯斯坦,KG,7927
加拿大,CA,7734
法国,FR,7663
阿尔及利亚,DZ,6763
摩洛哥,MA,6167
海地,HT,5745
泰国,TH,5506
台湾,TW,5304
英国,GB,5218
德国,DE,4731
马达加斯加,MG,4643
突尼斯,TN,4423
多米尼加共和国,DO,4332
卡塔尔X,AJ,4274
科威特,KW,4222
乌克兰,UA,4051
意大利,IT,3735
韩国,KR,3694
津巴布韦,ZW,3632
土耳其,TR,3623
哈萨克斯坦,KZ,3537
马拉维,MW,3508
乌兹别克斯坦,UZ,3298
卡塔尔,QA,2729
阿曼X,AV,2623
布隆迪,BI,2547
新加坡,SG,2367
荷兰,NL,2262
科特迪瓦,CI,2259
约旦,JO,2135
巴林X,BU,2031
澳大利亚,AU,2025
西班牙,ES,1707
伊拉克,IQ,1629
巴林,BH,1555
阿曼,OM,1436
澳门,MO,1426
博茨瓦纳,BW,1397
葡萄牙,PT,1279
斯威士兰,SZ,1246
喀麦隆,CM,1243
也门,YE,1242
墨西哥,MX,1125
赞比亚,ZM,1093
利比亚,LY,1041
白俄罗斯,BY,1034
厄瓜多尔,EC,1020
布基纳法索,BF,981
阿根廷,AR,962
秘鲁,PE,882
比利时,BE,849
以色列X,AX,838
莱索托,LS,815
新西兰,NZ,807
文莱,BN,750
黎巴嫩A,AH,739
土耳其M,TA,680
巴拉圭,PY,669
波兰,PL,651
莫桑比克,MZ,623
塞浦路斯,CY,622
智利,CL,590
塞内加尔,SN,574
牙买加,JM,563
加蓬,GA,561
古巴,CU,560
约旦A,BX,549
叙利亚,SY,549
安哥拉,AO,541
巴哈马,BS,541
斯里兰卡,LK,536
刚果布,CG,527
玻利维亚,BO,526
罗马尼亚,RO,518
瑞士,CH,516
纳米比亚,NA,471
希腊,GR,460
瑞典,SE,452
塞拉利昂,SL,438
芬兰,FI,436
苏里南,SR,432
埃及A,AP,418
特立尼达和多巴哥,TT,398
索马里,SO,382
利比亚A,CB,380
爱尔兰,IE,350
以色列,IL,344
丹麦,DK,337
保加利亚,BG,331
巴勒斯坦,BL,317
挪威,NO,312
奥地利,AT,311
摩尔多瓦,MD,286
捷克,CZ,246
刚果金,CD,234
克罗地亚,HR,213
伯利兹,BZ,212
马尔代夫,MV,204
坦桑尼亚,TZ,199
马里,ML,184
哥斯达黎加,CR,181
巴拿马,PA,173
萨尔瓦多,SV,171
柬埔寨,KH,169
毛里求斯,MU,166
冈比亚,GM,160
匈牙利,HU,159
日本L,JL,153
土耳其A,BC,143
洪都拉斯,HN,142
委内瑞拉,VE,141
格鲁吉亚,GE,140
冰岛,IS,132
马耳他,MT,130
几内亚,GN,127
阿美尼亚,AM,123
巴巴多斯,BB,122
危地马拉,GT,118
阿尔巴尼亚,AL,116
乌拉圭,UY,99
波多黎各,PR,98
开曼群岛,KY,84
阿富汗,AF,81
阿塞拜疆,AZ,79
突尼斯X,CP,78
摩洛哥A,AK,75
拉脱维亚,LV,74
尼日尔,NE,68
尼加拉瓜,NI,67
卢森堡,LU,64
关岛,GU,63
中非共和国,CF,60
圭亚那,GY,59
中国,CN,58
阿尔及利亚A,BA,54
立陶宛,LT,54
百慕大群岛,BM,52
吉布提,DJ,52
斯洛伐克,SK,52
法属圭亚那,GF,50
蒙古,MN,50
安道尔共和国,AD,45
斯洛文尼亚,SI,44
伊拉克A,BK,42
塞尔维亚,RS,42
安提瓜和巴布达,AG,40
苏丹X,CJ,40
斐济,FJ,40
乍得,TD,40
利比里亚,LR,39
扎伊尔,ZR,38
摩纳哥,MC,37
塔吉克斯坦,TJ,35
巴布亚新几内亚,PG,33
安圭拉岛,AI,27
法属玻利尼西亚,PF,23
直布罗陀,GI,20
塞舌尔,SC,19
库克群岛,CK,17
也门X,BQ,16
格林纳达,GD,16
土库曼斯坦,TM,16
列支敦士登,LI,15
圣文森特岛,VC,15
瑙鲁,NR,14
圣卢西亚,LC,13
圣马力诺,SM,13
巴勒斯坦X,BP,11
黑山国,HS,11
苏丹,SD,10
东帝汶,TL,10
圣多美和普林西比,ST,8
特克斯和凯科斯群岛,TC,8
查谟和克什米尔,IR,7
蒙特塞拉特岛,MS,7
所罗门群岛,SB,5
汤加,TO,5
奥里萨邦,DG,1
乌塔拉坎德邦,DS,1
安得拉邦,IB,1
