国家,国家简码,注册数
菲律宾,PH,8764
巴基斯坦,PK,7259
印尼,ID,7201
印度,IN,6528
埃塞俄比亚,ET,5047
尼日利亚,NG,4799
尼泊尔,NP,3631
孟加拉国,BD,3623
南非,ZA,2974
沙特,SA,1554
埃及,EG,1518
肯尼亚,KE,1367
阿联酋,AE,762
美国,US,741
不丹,BT,733
越南,VI,676
巴西,BR,655
卢旺达,RW,452
俄罗斯,RU,445
乌干达,UG,440
缅甸,MM,409
阿尔及利亚,DZ,404
伊拉克,IQ,397
斯威士兰,SZ,369
英国,GB,334
法国,FR,303
津巴布韦,ZW,279
吉尔吉斯斯坦,KG,277
贝宁,BJ,256
多哥,TG,249
乌兹别克斯坦,UZ,237
哥伦比亚,CO,228
马来西亚,MY,220
日本,JP,218
加拿大,CA,216
海地,HT,209
老挝,LA,209
德国,DE,194
黎巴嫩,LB,190
科威特,KW,179
加纳,GH,174
摩洛哥,MA,171
马达加斯加,MG,161
香港,HK,159
多米尼加共和国,DO,155
荷兰,NL,153
泰国,TH,149
哈萨克斯坦,KZ,145
卡塔尔,QA,143
土耳其,TR,137
澳大利亚,AU,125
约旦,JO,125
莱索托,LS,125
也门,YE,121
科特迪瓦,CI,117
利比亚,LY,105
马拉维,MW,105
阿曼,OM,102
土耳其M,TA,99
墨西哥,MX,94
新加坡,SG,93
乌克兰,UA,93
博茨瓦纳,BW,80
突尼斯,TN,77
意大利,IT,73
阿根廷,AR,71
叙利亚,SY,70
布隆迪,BI,67
巴林,BH,52
厄瓜多尔,EC,50
索马里,SO,48
布基纳法索,BF,47
韩国,KR,46
比利时,BE,44
西班牙,ES,39
喀麦隆,CM,38
奥地利,AT,35
赞比亚,ZM,34
波兰,PL,32
巴拉圭,PY,32
台湾,TW,32
安哥拉,AO,27
葡萄牙,PT,26
塞内加尔,SN,26
秘鲁,PE,25
莫桑比克,MZ,24
阿尔巴尼亚,AL,23
智利,CL,23
罗马尼亚,RO,23
刚果布,CG,22
刚果金,CD,22
阿美尼亚,AM,20
以色列,IL,20
纳米比亚,NA,20
巴哈马,BS,19
阿塞拜疆,AZ,18
牙买加,JM,18
斯里兰卡,LK,18
新西兰,NZ,18
白俄罗斯,BY,17
瑞典,SE,17
委内瑞拉,VE,17
古巴,CU,15
丹麦,DK,15
芬兰,FI,14
马里,ML,14
加蓬,GA,13
洪都拉斯,HN,13
爱尔兰,IE,13
坦桑尼亚,TZ,13
希腊,GR,12
摩尔多瓦,MD,12
苏里南,SR,12
巴勒斯坦,BL,11
捷克,CZ,11
几内亚,GN,11
安提瓜和巴布达,AG,10
阿富汗,AF,10
